Player Name,Team,Pos,Games,G,A,Pts,PIM,SOG,Hits,BS
Matt Niskanen,PHI,D,80,8,17,25,41,143,167,137
Stefan Noesen,DAL,C,41,3,5,8,28,64,95,21
Nelson Nogier,WPG,D,1,0,0,0,0,1,0,1
Jordan Nolan,STL,RW,14,0,2,2,14,17,22,4
Joakim Nordstrom,BOS,C,70,7,5,12,13,103,86,52
Tomas Nosek,VGK,LW,68,8,9,17,18,116,75,23
Ryan Nugent-Hopkins,EDM,LW,82,28,41,69,26,208,69,40
Darnell Nurse,EDM,D,82,10,31,41,87,196,162,146
Markus Nutivaara,CLS,D,80,5,16,21,6,99,80,61
Alexander Nylander,CHI,RW,12,2,2,4,4,16,1,1
William Nylander,TOR,C,54,7,20,27,16,130,16,14
Gustav Nyquist,CLS,RW,81,22,38,60,12,204,36,23
Logan O'Connor,COL,C,5,0,0,0,0,1,4,1
Danny O'Regan,NYR,C,1,0,0,0,0,2,0,0
Ryan O'Reilly,STL,C,82,28,49,77,12,234,31,36
Jordan Oesterle,ARI,D,71,6,14,20,12,77,58,139
Kyle Okposo,BUF,RW,78,14,15,29,41,147,87,27
Jamie Oleksiak,DAL,D,57,4,8,12,45,55,135,59
Victor Olofsson,BUF,RW,6,2,2,4,2,21,2,3
Dmitry Orlov,WAS,D,82,3,26,29,33,101,137,103
Brooks Orpik,FA,D,53,2,7,9,32,43,131,78
T.J. Oshie,WAS,RW,69,25,29,54,36,143,133,55
Xavier Ouellet,MON,D,19,0,3,3,13,32,32,30
Alex Ovechkin,WAS,LW,81,51,38,89,40,338,223,41
Igor Ozhiganov,FA,D,53,3,4,7,14,43,57,48
Magnus Paajarvi,FA,LW,80,11,8,19,6,119,65,67
Max Pacioretty,VGK,LW,66,22,18,40,36,191,119,20
Jean-Gabriel Pageau,OTT,C,39,4,8,12,14,83,63,38
Ondrej Palat,TB,LW,64,8,26,34,20,100,104,34
Kyle Palmieri,NJ,RW,74,27,23,50,42,224,98,35
Artemi Panarin,NYR,LW,79,28,59,87,23,191,14,17
Richard Panik,WAS,RW,75,14,19,33,44,140,137,52
Cedric Paquette,TB,C,80,13,4,17,80,87,269,61
Colton Parayko,STL,D,80,10,18,28,15,176,127,157
Zach Parise,MIN,LW,74,28,33,61,26,229,49,71
David Pastrnak,BOS,RW,66,38,43,81,32,235,57,25
Greg Pateryn,MIN,D,80,1,6,7,41,100,144,118
Nolan Patrick,PHI,C,72,13,18,31,27,115,72,26
Nick Paul,OTT,LW,20,1,1,2,4,30,28,4
Joe Pavelski,DAL,C,75,38,26,64,22,188,69,61
Tanner Pearson,VAN,LW,80,18,9,27,25,147,128,41
Matthew Peca,MON,C,39,3,7,10,4,35,33,21
Adam Pelech,NYI,D,78,5,16,21,24,110,149,116
Anthony Peluso,EDM,RW,4,0,0,0,7,1,4,0
Brendan Perlini,CHI,LW,68,14,7,21,28,117,51,22
Mathieu Perreault,WPG,C,82,15,15,30,44,95,127,25
David Perron,STL,RW,57,23,23,46,46,112,52,13
Corey Perry,DAL,RW,31,6,4,10,27,59,21,14
Brett Pesce,CAR,D,73,7,22,29,24,98,53,131
Nicolas Petan,TOR,C,18,1,2,3,2,15,2,4
Alex Petrovic,BOS,D,35,0,2,2,26,47,116,53
Jeff Petry,MON,D,82,13,33,46,28,172,190,123
Elias Pettersson,VAN,C,71,28,38,66,12,144,42,51
Marcus Pettersson,PIT,D,84,2,23,25,66,87,101,108
Dion Phaneuf,FA,D,67,1,5,6,53,80,128,79
Blake Pietila,ANH,LW,19,0,1,1,6,22,36,8
Alex Pietrangelo,STL,D,71,13,28,41,22,168,62,139
Lawrence Pilut,BUF,D,33,1,5,6,20,37,20,33
Neal Pionk,WPG,D,73,6,20,26,35,132,138,98
Brandon Pirri,VGK,C,31,12,6,18,6,82,29,13
Rem Pitlick,NSH,C,1,0,0,0,2,0,0,0
Tyler Pitlick,PHI,C,47,8,4,12,6,75,93,27
Tomas Plekanec,FA,C,3,1,0,1,0,8,1,1
Ryan Poehling,MON,C,1,3,0,3,0,3,1,0
Brayden Point,TB,C,79,41,51,92,28,191,31,43
Roman Polak,DAL,D,77,1,8,9,69,77,191,152
Jason Pominville,FA,RW,73,16,15,31,4,134,18,20
Derrick Pouliot,STL,D,62,3,9,12,30,58,76,71
Nate Prosser,PHI,D,15,0,0,0,2,10,17,13
Dalton Prout,SJ,D,20,1,1,2,8,14,36,20
Ivan Provorov,PHI,D,82,7,19,26,32,145,123,149
Matt Puempel,DET,LW,8,1,0,1,2,10,4,5
Jesse Puljujarvi,FA,RW,46,4,5,9,16,53,46,26
Ryan Pulock,NYI,D,82,9,28,37,22,180,143,148
Tom Pyatt,FA,C,37,0,2,2,2,29,15,46
Mark Pysyk,FLA,D,70,1,10,11,26,64,133,89
John Quenneville,CHI,C,19,1,0,1,4,16,21,7
Alan Quine,CGY,C,13,3,2,5,6,11,14,2
Lukas Radil,SJ,LW,36,7,4,11,6,40,29,9
Alexander Radulov,DAL,RW,70,29,43,72,54,209,60,83
Brogan Rafferty,VAN,D,2,0,0,0,0,3,0,2
Michael Raffl,PHI,LW,67,6,12,18,32,65,96,29
Rickard Rakell,ANH,C,69,18,25,43,27,194,82,38
Mikko Rantanen,COL,RW,74,31,56,87,54,193,59,41
Victor Rask,MIN,C,49,3,6,9,8,55,40,12
Michael Rasmussen,DET,C,62,8,10,18,29,74,84,28
Ty Rattie,FA,RW,50,4,7,11,4,84,57,7
Kyle Rau,MIN,C,6,0,1,1,0,6,11,2
Matt Read,TOR,RW,12,1,0,1,2,13,11,8
Ryan Reaves,VGK,RW,80,9,11,20,74,95,305,24
Mike Reilly,MON,D,57,3,8,11,16,101,48,53
Sam Reinhart,BUF,C,82,22,43,65,16,180,38,47
Sheldon Rempal,LA,LW,7,0,0,0,0,3,0,1
Anthony Richard,NSH,C,1,0,0,0,0,0,0,1
Brad Richardson,ARI,C,66,19,8,27,22,128,63,55
Tobias Rieder,CGY,RW,67,0,11,11,8,92,69,44
Morgan Rielly,TOR,D,82,20,52,72,14,223,61,114
James van Riemsdyk,PHI,LW,66,27,21,48,18,167,34,16
Trevor van Riemsdyk,CAR,D,78,3,11,14,10,102,42,84
Juuso Riikola,PIT,D,37,2,3,5,10,43,86,38
Zac Rinaldo,CGY,C,23,1,2,3,20,11,47,8
Rasmus Ristolainen,BUF,D,78,5,38,43,38,182,235,121
Brett Ritchie,BOS,RW,53,4,2,6,57,57,126,13
Nick Ritchie,ANH,LW,60,9,22,31,82,96,123,31
Eric Robinson,CLS,LW,13,0,0,0,0,18,24,1
Jack Rodewald,OTT,RW,6,0,0,0,0,2,8,3
Evan Rodrigues,BUF,C,74,9,20,29,25,168,33,33
Kevin Rooney,NJ,C,41,6,4,10,15,39,77,22
Jacob De La Rose,DET,C,60,3,6,9,16,55,72,29
Calle Rosen,COL,D,4,1,0,1,0,5,1,2
Jack Roslovic,WPG,RW,77,9,15,24,4,74,32,21
Antoine Roussel,VAN,LW,65,9,22,31,118,84,87,50
Carter Rowney,ANH,C,62,7,13,20,12,53,178,35
Kevin Roy,FLA,C,3,0,0,0,0,2,0,2
Matt Roy,LA,D,25,2,4,6,8,34,38,47
Nicolas Roy,VGK,C,6,0,0,0,2,1,7,1
Chad Ruhwedel,PIT,D,18,1,1,2,4,22,40,16
Kris Russell,EDM,D,72,3,13,16,27,63,93,185
Patrick Russell,EDM,RW,6,0,0,0,2,6,9,2
Bryan Rust,PIT,RW,72,18,17,35,24,141,119,59
Jan Rutta,TB,D,37,2,6,8,16,42,24,30
Bobby Ryan,OTT,RW,78,15,27,42,35,160,77,49
Derek Ryan,CGY,C,81,13,25,38,24,103,19,19
Joakim Ryan,LA,D,44,0,7,7,15,35,43,39
Kerby Rychel,FA,LW,2,0,0,0,0,1,3,1
Brandon Saad,CHI,LW,80,23,24,47,12,195,52,25
Miikka Salomaki,NSH,RW,37,3,4,7,8,51,72,20
Zachary Sanford,STL,LW,60,8,12,20,21,77,48,37
Travis Sanheim,PHI,D,82,9,26,35,22,121,45,133
Steve Santini,NSH,D,39,1,3,4,16,41,80,43
Ashton Sautner,VAN,D,17,0,1,1,2,21,25,17
David Savard,CLS,D,82,8,16,24,36,124,122,123
Luca Sbisa,FA,D,9,0,1,1,4,5,17,7
Marco Scandella,BUF,D,63,6,7,13,26,83,53,75
Colton Sceviour,FLA,RW,59,5,10,15,15,116,89,58
Tim Schaller,VAN,C,47,3,7,10,9,44,66,18
Mark Scheifele,WPG,C,82,38,46,84,38,199,54,54
Brayden Schenn,STL,LW,72,17,37,54,40,159,111,31
Luke Schenn,TB,D,26,0,2,2,16,30,105,39
Nikita Scherbak,FA,RW,8,1,0,1,2,12,9,1
Cameron Schilling,WPG,D,4,0,1,1,0,2,3,5
David Schlemko,FA,D,18,0,2,2,4,29,29,45
Jordan Schmaltz,TOR,D,20,0,2,2,2,11,10,22
Nick Schmaltz,ARI,RW,40,7,18,25,8,62,5,12
Nate Schmidt,VGK,D,61,9,21,30,8,112,37,100
Jimmy Schuldt,VGK,D,1,0,1,1,0,1,0,1
Justin Schultz,PIT,D,29,2,13,15,4,47,25,41
Jaden Schwartz,STL,LW,69,11,25,36,16,183,61,27
Brent Seabrook,CHI,D,78,5,23,28,41,165,124,180
Lukas Sedlak,FA,C,47,4,2,6,10,43,69,20
Nick Seeler,MIN,D,71,2,5,7,64,67,78,116
Tyler Seguin,DAL,C,82,33,47,80,18,334,74,47
Andrej Sekera,DAL,D,24,0,4,4,6,28,17,21
Brett Seney,NJ,LW,51,5,8,13,31,49,48,15
Zachary Senyshyn,BOS,RW,2,1,0,1,0,4,1,0
Mikhail Sergachev,TB,D,75,6,26,32,28,128,97,93
Damon Severson,NJ,D,82,11,28,39,58,146,83,87
Kevin Shattenkirk,TB,D,73,2,26,28,20,148,73,104
Andrew Shaw,CHI,C,63,19,28,47,71,135,128,36
Riley Sheahan,EDM,C,82,9,10,19,17,110,72,44
Conor Sheary,BUF,LW,78,14,20,34,12,147,29,29
Kiefer Sherwood,ANH,LW,50,6,6,12,8,60,79,19
Kole Sherwood,CLS,C,2,0,0,0,0,2,10,1
Devin Shore,ANH,C,76,10,19,29,13,82,94,64
Jonas Siegenthaler,WAS,D,26,0,4,4,10,12,31,44
Dylan Sikura,CHI,LW,33,0,8,8,0,52,3,10
Jakob Silfverberg,ANH,RW,73,24,19,43,28,163,38,43
Radim Simek,SJ,D,41,1,8,9,8,41,67,34
Wayne Simmonds,NJ,RW,79,17,13,30,99,157,137,28
Dominik Simon,PIT,C,71,8,20,28,18,121,89,19
Colton Sissons,NSH,RW,75,15,15,30,23,111,109,52
Jeff Skinner,BUF,LW,82,40,23,63,36,268,31,24
Brady Skjei,NYR,D,78,8,17,25,44,126,178,119
Jaccob Slavin,CAR,D,82,8,23,31,18,146,70,133
Brendan Smith,NYR,D,63,4,9,13,71,66,100,48
C.J. Smith,BUF,LW,11,2,0,2,0,18,4,1
Craig Smith,NSH,RW,76,21,17,38,20,205,77,33
Gemel Smith,TB,C,17,2,1,3,0,14,13,3
Reilly Smith,VGK,RW,74,19,34,53,14,178,39,33
Zack Smith,CHI,C,70,9,19,28,81,101,136,27
Devante Smith-Pelly,CGY,RW,54,4,4,8,15,60,78,36
Vladimir Sobotka,BUF,C,69,5,8,13,26,71,87,30
Carl Soderberg,ARI,C,82,23,26,49,26,188,99,67
Marcus Sorensen,SJ,RW,80,17,13,30,23,100,88,29
Nikita Soshnikov,FA,LW,5,0,0,0,0,1,5,2
Jason Spezza,TOR,C,76,8,19,27,29,121,16,30
Ryan Spooner,FA,C,52,3,6,9,2,67,39,7
Daniel Sprong,ANH,RW,63,14,9,23,10,125,35,14
Jared Spurgeon,MIN,D,82,14,29,43,20,152,91,145
Eric Staal,MIN,C,81,22,30,52,34,215,41,28
Jordan Staal,CAR,C,50,11,17,28,26,121,122,18
Marc Staal,NYR,D,79,3,10,13,32,84,94,119
Drew Stafford,MIN,RW,57,5,8,13,18,77,50,19
Steven Stamkos,TB,C,82,45,53,98,37,234,72,40
Paul Stastny,VGK,C,50,13,29,42,30,103,35,15
Troy Stecher,VAN,D,78,2,21,23,32,105,91,96
Sam Steel,ANH,C,22,6,5,11,8,33,9,6
Alexander Steen,STL,LW,65,10,17,27,14,114,55,50
Lee Stempniak,FA,RW,2,0,0,0,0,0,2,0
Kevin Stenlund,CLS,C,4,0,0,0,4,3,3,1
Derek Stepan,ARI,C,72,15,20,35,14,195,50,51
Chandler Stephenson,WAS,RW,64,5,6,11,0,36,38,33
Riley Stillman,FLA,D,1,0,0,0,2,1,5,0
Mark Stone,VGK,RW,77,33,40,73,27,199,72,71
Michael Stone,FA,D,14,0,5,5,10,12,27,16
Anton Stralman,FLA,D,47,2,15,17,8,57,59,71
Ben Street,NJ,C,21,3,2,5,2,19,19,9
Dylan Strome,CHI,C,78,20,37,57,20,145,13,46
Ryan Strome,NYR,C,81,19,16,35,64,110,76,36
Nico Sturm,MIN,C,2,0,0,0,0,7,3,2
P.K. Subban,NJ,D,63,9,22,31,60,168,56,75
Libor Sulak,FA,D,6,0,0,0,6,7,18,5
Oskar Sundqvist,STL,C,74,14,17,31,22,113,101,31
Antti Suomela,SJ,C,27,3,5,8,4,42,10,11
Andrej Sustr,FA,D,5,0,0,0,6,6,3,7
Ryan Suter,MIN,D,82,7,40,47,41,136,78,109
Brandon Sutter,VAN,C,26,4,2,6,6,43,33,13
Andrei Svechnikov,CAR,RW,82,20,17,37,62,189,123,26
Brandon Tanev,PIT,LW,80,14,15,29,41,127,278,81
Chris Tanev,VAN,D,55,2,10,12,18,51,29,122
Eric Tangradi,FA,LW,6,0,1,1,0,10,11,4
Vladimir Tarasenko,STL,RW,76,33,35,68,22,275,88,40
Tomas Tatar,MON,LW,80,25,33,58,34,195,77,30
John Tavares,TOR,C,82,47,41,88,34,286,59,53
Matt Tennyson,NJ,D,4,0,0,0,0,4,10,2
Teuvo Teravainen,CAR,C,82,21,55,76,12,167,35,23
Troy Terry,ANH,C,32,4,9,13,2,25,4,12
Josh Teves,VAN,D,1,0,0,0,2,0,4,1
Alexandre Texier,CLS,C,2,1,0,1,0,6,2,1
Shea Theodore,VGK,D,79,12,25,37,20,202,27,91
Robert Thomas,STL,C,70,9,24,33,14,80,13,22
Nate Thompson,MON,C,78,5,8,13,17,71,87,44
Tage Thompson,BUF,RW,65,7,5,12,20,108,66,9
Chris Thorburn,FA,RW,1,0,0,0,0,0,1,0
Joe Thornton,SJ,C,73,16,35,51,20,90,17,14
Chris Tierney,OTT,C,81,9,39,48,26,116,30,54
Brady Tkachuk,OTT,LW,71,22,23,45,75,214,174,26
Matthew Tkachuk,CGY,LW,80,34,43,77,62,207,104,13
Devon Toews,NYI,D,48,5,13,18,4,81,24,30
Jonathan Toews,CHI,C,82,35,46,81,40,235,42,44
Tyler Toffoli,LA,RW,82,13,21,34,23,226,39,23
Eeli Tolvanen,NSH,LW,4,1,1,2,0,2,4,2
Dominic Toninato,FLA,LW,2,1,0,1,0,1,0,1
Vincent Trocheck,FLA,C,55,10,24,34,54,158,112,42
Zach Trotman,PIT,D,13,0,1,1,4,16,20,18
Jacob Trouba,NYR,D,82,8,42,50,58,162,112,171
Alex Tuch,VGK,RW,74,20,32,52,8,180,92,40
Dominic Turgeon,DET,C,4,0,0,0,0,2,3,3
Kyle Turris,NSH,C,55,7,16,23,33,78,24,15
Urho Vaakanainen,BOS,D,2,0,0,0,0,2,0,0
Juuso Valimaki,CGY,D,24,1,2,3,12,28,21,43
Thomas Vanek,FA,LW,64,16,20,36,26,108,38,13
Philip Varone,MON,C,47,3,4,7,8,34,23,19
Sami Vatanen,NJ,D,50,4,13,17,22,107,68,77
Frank Vatrano,FLA,LW,81,24,15,39,38,208,139,74
Max Veronneau,OTT,RW,12,2,2,4,0,15,0,5
Kristian Vesalainen,WPG,LW,5,0,1,1,0,1,1,1
Jimmy Vesey,BUF,LW,81,17,18,35,21,154,79,34
Jake Virtanen,VAN,LW,70,15,10,25,44,154,154,37
Marc-Edouard Vlasic,SJ,D,72,3,22,25,10,100,23,114
Jakub Voracek,PHI,LW,78,20,46,66,25,210,17,29
Mikhail Vorobyov,PHI,C,15,1,1,2,2,10,4,4
Jakub Vrana,WAS,RW,82,24,23,47,27,161,47,32
Austin Wagner,LA,LW,62,12,9,21,16,67,142,9
Chris Wagner,BOS,RW,76,12,7,19,51,135,247,38
Nathan Walker,STL,C,3,0,1,1,2,2,5,0
Sean Walker,LA,D,39,3,7,10,8,55,43,40
Lucas Wallmark,CAR,C,81,10,18,28,36,131,82,39
Austin Watson,NSH,LW,37,7,9,16,39,64,109,28
Jordan Weal,MON,C,63,8,13,21,18,75,28,26
Shea Weber,MON,D,58,14,19,33,28,166,129,110
Yannick Weber,NSH,D,62,2,6,8,18,67,64,32
MacKenzie Weegar,FLA,D,64,4,11,15,64,79,127,103
Dale Weise,MON,RW,51,5,6,11,19,58,88,21
Andy Welinski,PHI,D,26,1,3,4,8,32,47,18
Alexander Wennberg,CLS,C,75,2,23,25,12,64,34,32
Zach Werenski,CLS,D,82,11,33,44,18,168,67,89
Blake Wheeler,WPG,RW,82,20,71,91,60,231,81,53
Colin White,OTT,C,71,14,27,41,24,123,23,35
Colton White,NJ,D,3,0,0,0,2,1,2,2
Chris Wideman,ANH,D,25,2,5,7,18,27,35,26
Justin Williams,FA,RW,82,23,30,53,44,237,55,32
Colin Wilson,COL,LW,65,12,15,27,8,104,55,31
Garrett Wilson,TOR,LW,50,2,6,8,18,54,114,16
Scott Wilson,BUF,LW,15,0,3,3,4,25,29,2
Tom Wilson,WAS,RW,63,22,18,40,128,130,200,52
Luke Witkowski,TB,D,34,0,2,2,23,14,67,27
Christian Wolanin,OTT,D,30,4,8,12,6,36,11,31
Miles Wood,NJ,LW,63,10,14,24,91,159,97,27
Egor Yakovlev,FA,D,25,2,5,7,6,24,12,22
Kailer Yamamoto,EDM,LW,17,1,1,2,2,13,18,11
Keith Yandle,FLA,D,82,9,53,62,50,199,47,76
Pavel Zacha,NJ,C,61,13,12,25,15,99,68,24
Filip Zadina,DET,LW,9,1,2,3,0,18,6,3
Nikita Zadorov,COL,D,70,7,7,14,75,100,228,67
Nikita Zaitsev,OTT,D,81,3,11,14,18,71,139,151
Travis Zajac,NJ,C,80,19,27,46,20,120,66,38
Jakub Zboril,BOS,D,2,0,0,0,0,1,3,0
Mika Zibanejad,NYR,C,82,30,44,74,47,236,134,66
Michael Del Zotto,ANH,D,42,1,9,10,8,45,129,53
Mats Zuccarello,MIN,RW,48,12,28,40,24,104,57,43
Jason Zucker,MIN,LW,81,21,21,42,28,214,87,38
Valentin Zykov,VGK,RW,28,2,3,5,2,29,26,6
